7537	gota_canal.n.01
4294	imbrication.n.01
8847	fraise.n.02
2598	metric_ton.n.01
5135	vein.n.04
1344	vein.n.01
5628	transplant.n.03
267	shahadah.n.01
8331	ledum.n.01
834	eugenia.n.01
7615	continuity.n.03
5173	unsoundness.n.03
155	mammal_family.n.01
6772	authority.n.03
8687	heterophil_test.n.01
7714	jacobean.n.01
3720	poxvirus.n.01
4336	postage_meter.n.01
3317	american_state.n.01
1944	reuptake.n.01
4411	unimportance.n.02
2599	trevino.n.01
706	bed.n.07
10502	mead's_milkweed.n.01
2325	foodstuff.n.02
4929	film_industry.n.01
10506	femoral_vein.n.01
2992	elitist.n.01
3544	lock.n.01
7733	transformer.n.01
2875	lock.n.06
8340	slow_motion.n.01
9867	greenland.n.01
7305	invite.n.01
7156	round_ligament_of_the_uterus.n.01
8998	wangle.n.01
6233	echolalia.n.02
2801	contestant.n.01
4563	aristolochiaceae.n.01
4378	plug.n.01
8370	osmundaceae.n.01
4711	mouthpiece.n.06
6380	duchess.n.01
6524	burroughs.n.01
5409	furniture.n.01
7384	kiggelaria.n.01
2167	daily_variation.n.01
632	press.n.03
8158	sounding_board.n.01
1057	constituent.n.04
1204	touch.n.09
5203	prairie_aster.n.01
2442	constituent.n.02
7110	subkingdom.n.01
4921	white_pine.n.01
3761	eggbeater.n.02
1030	maquis.n.02
2182	barn_spider.n.01
9122	protista.n.01
7689	green_mayonnaise.n.01
9035	lymphatic_system.n.01
7459	paye.n.01
7011	canterbury.n.01
1716	capitalist.n.02
6804	iron.n.01
943	entertainer.n.01
731	semiotics.n.01
9471	basketball_score.n.01
10469	yam_bean.n.02
8190	lehigh_river.n.01
3741	alzheimer's_disease.n.01
3224	quetzal.n.01
854	suffragist.n.01
5089	indian.n.02
2297	indian.n.01
6204	buildup.n.01
5406	inferior_colliculus.n.01
6242	escheat.n.01
982	shahaptian.n.01
5732	liquidity.n.03
2011	shorebird.n.01
927	blood_disease.n.01
8504	tectaria.n.01
8589	mold.n.07
5830	aye-aye.n.01
240	arthropod_family.n.01
1338	harmony.n.02
8563	schiaparelli.n.02
5753	pilularia.n.01
5927	youngstown.n.01
9191	seer.n.02
9157	general_services_administration.n.01
8216	gumma.n.01
6500	coefficient_of_reflection.n.01
228	alienee.n.01
8760	grey_goldenrod.n.01
4885	keratosis.n.01
7545	brewing.n.01
9014	absolutism.n.01
2007	boy_scout.n.02
2437	display.n.02
636	ishtar.n.01
3973	display.n.05
1121	display.n.06
8121	flip.n.04
1450	countermeasure.n.01
6530	analogist.n.01
7244	statue_of_liberty.n.01
10336	standard_and_poor's.n.01
8564	doppler_effect.n.01
1330	alcoholic_dementia.n.01
9323	anamorphosis.n.01
1739	educational_institution.n.01
1545	paper_fastener.n.01
6487	gravure.n.02
5994	light_minute.n.01
1797	comfit.n.01
1870	image.n.01
5953	dip_switch.n.01
8575	chytridiales.n.01
5398	levitation.n.03
5042	forecaster.n.01
2171	arius.n.02
9985	tabasco.n.02
8588	circassian.n.03
7418	beacon.n.01
9460	hedeoma.n.01
5257	secondment.n.02
3563	ornithomimid.n.01
284	sewing_stitch.n.01
2604	mullus.n.01
6464	range_hood.n.01
10091	genus_doodia.n.01
9606	pivot.n.03
3500	francisella.n.01
10497	ilang-ilang.n.01
9891	souffle.n.01
8734	christening.n.01
2538	input_file.n.01
7321	dedifferentiation.n.01
3548	speed.n.03
386	broadsword.n.01
6595	speed.n.01
1486	tunnel.n.01
3501	piculet.n.01
6363	fishery.n.01
3258	jungle_hen.n.01
7073	payroll.n.01
7497	soprano_clef.n.01
8088	morrigan.n.01
10009	parji.n.01
10321	paronychia.n.01
9785	downing.n.01
2395	liberality.n.02
7804	white_mullein.n.01
6392	openness.n.02
5512	bamboo.n.02
8211	digital_communications_technology.n.01
258	vermifuge.n.01
42	cartouche.n.01
8421	electric_bell.n.01
9729	atrioventricular_node.n.01
1285	symonds.n.01
3315	relish.n.02
6635	sharksucker.n.01
48	sputter.n.02
7040	landholding.n.02
2109	engineer.n.02
2989	schist.n.01
5480	engineer.n.01
8650	aortic_arch.n.01
2131	maturity.n.02
189	scranton.n.01
6185	asexual_reproduction.n.01
8527	rhinestone.n.01
3144	falcon.n.01
6675	acknowledgment.n.03
2511	consumer_goods.n.01
10059	paronychia.n.02
5441	no.n.01
5225	pharsalus.n.01
769	burnham.n.01
8415	wyler.n.01
3448	heartlessness.n.01
9706	power_cord.n.01
